bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
3,2,0.6666666666666666,3.0,1.54,0.5133333333333333,1.4891999999999999,0.49639999999999995,-1.0,2.3466666666666667,0.48933479760211784,0.08433051088689299,0.0,0.0,0.026994503056167088,0.1,other,3.0,True,Grass,
3,2,0.6666666666666666,3.0,1.54,0.5133333333333333,1.4891999999999999,0.49639999999999995,-1.0,2.3466666666666667,0.48933479760211784,0.08433051088689299,0.0,0.0,0.026994503056167088,0.1,other,5.0,True,Grass,
215,62,0.28837209302325584,215.0,107.83,0.5015348837209302,102.61340000000001,0.4772716279069768,-34.330000000000005,4.423162790697675,0.3663543201721243,0.04752796279730887,0.0,0.0,0.012282509835259013,0.05,other,,True,,
374,158,0.42245989304812837,374.0,176.34,0.47149732620320856,168.49320000000003,0.45051657754010704,-20.17999999999992,3.6215508021390375,0.43670696556075245,0.04444689305356445,0.0,0.0,0.012269862287949703,0.01,,,True,Clay,
201,38,0.1890547263681592,201.0,88.70000000000002,0.44129353233830854,83.666,0.41624875621890545,-49.209999999999994,6.888159203980099,0.2725308867553046,0.04383546259517276,0.0,0.0,0.011545315897631308,0.075,other,,False,,
354,107,0.3022598870056497,354.0,154.78,0.4372316384180791,146.74440000000004,0.4145322033898306,-35.329999999999956,4.8992090395480234,0.35579267642235457,0.0606043236299994,0.0,0.0,0.01900493771181562,0.075,,,True,,
10,5,0.5,10.0,3.97,0.397,3.790599999999999,0.3790599999999999,-2.0,2.867,0.4624927610019539,0.06003441021161744,0.0,0.0,0.041553056980640615,0.1,other,5.0,False,Clay,
314,101,0.321656050955414,314.0,121.61000000000003,0.38729299363057335,114.91780000000003,0.36598025477707014,-39.189999999999884,5.580031847133759,0.37437020049374314,0.0469669923870934,0.0,0.0,0.014758201596462265,0.03,,,False,Clay,
19,11,0.5789473684210527,19.0,6.629999999999999,0.34894736842105256,6.3374,0.3335473684210526,-4.0,2.4084210526315792,0.45984383616316593,0.0629412485388321,0.0,0.0,0.018125041630975572,0.05,,3.0,True,Grass,
388,137,0.35309278350515466,388.0,130.91000000000005,0.33739690721649496,123.2718,0.317710824742268,-32.459999999999894,5.075541237113403,0.3897800169991311,0.044365016651357635,0.0,0.0,0.013361866645720907,0.02,,,False,Clay,
7,4,0.5714285714285714,7.0,2.24,0.32,2.1352,0.3050285714285715,-2.0,3.468571428571429,0.4010679164773124,0.06498875888365799,0.0,0.0,0.019213033068813747,0.075,other,10.0,True,Grass,
7,4,0.5714285714285714,7.0,2.24,0.32,2.1352,0.3050285714285715,-2.0,3.468571428571429,0.4010679164773124,0.06498875888365799,0.0,0.0,0.019213033068813747,0.075,other,,True,Grass,
16,6,0.375,16.0,5.0200000000000005,0.31375000000000003,4.719599999999998,0.2949749999999999,-3.0,4.820625,0.3443223307045244,0.04800679928581752,0.0,0.0,0.028290833183126807,0.1,other,10.0,False,Clay,
102,37,0.3627450980392157,102.0,31.33,0.307156862745098,29.4034,0.2882686274509804,-9.099999999999998,5.007745098039216,0.3501286969107083,0.06774662837814688,0.0,0.0,0.02244972968492046,0.1,top_10,,True,Hard,
20,12,0.6,20.0,5.829999999999999,0.2915,5.553399999999999,0.27767,-4.51,2.1865000000000006,0.5143786782357165,0.056209539542374544,0.0,0.0,0.016122816590459516,0.01,top_10,3.0,True,Grass,
549,190,0.3460837887067395,549.0,159.39000000000001,0.29032786885245904,149.0222,0.27144298724954463,-35.06,4.216411657559197,0.3883818137845753,0.055962324130017754,0.0,0.0,0.017667013884164782,0.05,,,True,,
17,10,0.5882352941176471,17.0,4.709999999999999,0.2770588235294117,4.4758,0.26328235294117647,-3.51,2.2541176470588233,0.4997308703185176,0.058307975989048924,0.0,0.0,0.01704130628711556,0.03,top_10,3.0,True,Grass,
9,5,0.5555555555555556,9.0,2.35,0.2611111111111111,2.2229999999999994,0.24699999999999994,-2.0,2.27,0.5247874248254167,0.09673006918852026,0.0,0.0,0.03510220856114444,0.1,top_10,3.0,False,Grass,
505,192,0.3801980198019802,505.0,132.64999999999998,0.26267326732673263,123.73700000000004,0.24502376237623769,-38.12999999999985,4.631267326732673,0.40676412155915903,0.04109275682210397,0.0,0.0,0.011579550537969156,0.01,,,False,Clay,
384,125,0.3255208333333333,384.0,90.44999999999999,0.23554687499999996,83.46100000000001,0.2173463541666667,-51.69,3.738359375,0.3836851123704854,0.04238381819283777,0.0,0.0,0.009999746855174716,0.03,other,,True,,
70,32,0.45714285714285713,70.0,15.7,0.22428571428571428,14.625999999999998,0.2089428571428571,-6.42,3.0805714285714285,0.43148279284812374,0.07745116381910805,0.0,0.0,0.027340681313775678,0.1,top_10,5.0,True,Hard,
13,7,0.5384615384615384,13.0,2.8899999999999997,0.2223076923076923,2.7121999999999993,0.20863076923076918,-4.0,2.333076923076923,0.5059035021599082,0.09057236663588344,0.0,0.0,0.031595662999802224,0.1,,3.0,False,Grass,
35,14,0.4,35.0,7.869999999999999,0.22485714285714284,7.2926,0.20836000000000002,-6.0,3.4562857142857144,0.3514888656902901,0.05930192720581162,0.0,0.0,0.01588232685793711,0.05,top_10,5.0,True,Grass,
18,10,0.5555555555555556,18.0,3.7099999999999986,0.20611111111111102,3.4757999999999987,0.19309999999999994,-4.51,2.200555555555556,0.5162522260042345,0.05872782580418076,0.0,0.0,0.017448911001683574,0.02,top_10,3.0,True,Grass,
98,47,0.47959183673469385,98.0,20.22,0.20632653061224487,18.7956,0.19179183673469388,-7.65,2.856020408163266,0.46404235062868227,0.07505582895274562,0.0,0.0,0.027656416994343954,0.075,top_10,5.0,True,Hard,
